HMDB	KEGG	LipidMaps	compoundName_HMDB	compoundName_LipidMaps
		LMFA07011167		
		LMFA07011166		
		LMFA07011165		
		LMFA07011171		
		LMFA07011172		
		LMFA07011173		
		LMFA07011174		
		LMFA07011175		
		LMFA07011176		
		LMFA07011177		
		LMFA12000385		24-methylpentacosane-2-one
		LMFA12000384		2-Pentacosanone
		LMFA12000383		22-methyltetracosane-2-one
		LMFA12000382		23-methyltetracosane-2-one
		LMFA12000386		23-methylpentacosane-2-one
		LMFA12000381		2-Tetracosanone
		LMFA12000387		2-Hexacosanone
		LMFA12000380		21-methyltricosan-2-one
		LMFA12000388		25-methylhexacosane-2-one
		LMFA12000389		2-Heptacosanone
		LMFA12000210		7Z-Eicosen-11-one
		LMFA12000391		25-methylheptacosane-2-one
		LMFA12000393		2-nonacosanone
		LMFA12000395		2-Hentriacontanone
		LMFA01170138		Glutinic acid
		LMFA01050594		
		LMFA01031252		Aztequynol A
		LMFA01031253		Aztequynol B
		LMFA01031254		Triangulynic acid
		LMFA05000731		Triangulyne A
		LMFA05000732		Triangulyne B
		LMFA05000733		Triangulyne C
		LMFA12000379		22-methyltricosan-2-one
		LMFA12000390		26-methylheptacosane-2-one
		LMFA12000392		2-Octacosanone
		LMFA12000394		2-Triacontanone
		LMFA12000396		2-Dotriacontanone
		LMFA05000734		Triangulyne D
		LMFA12000397		2-Tritriacontanone
		LMFA05000735		Triangulyne E
		LMFA05000736		Triangulyne F
		LMFA05000737		Triangulyne G
		LMFA05000738		Triangulyne H
		LMFA05000741		(-)-Pellynol D
		LMFA05000740		(-)-Pellynol C
		LMFA05000739		(-)-Pellynol A
		LMFA01031258		(-)-Petrosynoic acid D
		LMFA01031256		(-)-Petrosynoic acid B
		LMFA01031255		(-)-Petrosynoic acid A
		LMFA03150002		15R-hydroxy-12S,14R-dioxolane-5Z,8Z,10E-eicosatrienoic acid
		LMFA02000059		10S-HpOME
		LMFA02000060		7S,10S-diHOME
		LMFA01031257		(-)-Petrosynoic acid C
		LMFA07040150		Isolinderanolide E
		LMFA06000263		(Z)-16-oxooctadeca-9,17-dien-12,14-diynal
		LMFA01031146		(E)-octadeca-15,17-dien-9,11,13-triynoic acid
		LMFA03000032		
		LMFA01031271		
		LMFA01031272		
		LMFA09000023		Albanitrile C
		LMFA01031273		
		LMFA05000759		Ginsenoyne B
		LMFA09000024		Albanitrile E
		LMFA10000015		Montiporic acid D
		LMFA10000016		Montiporic acid C
		LMFA05000760		1-Hydroxydihydropanaxacol
		LMFA02000392		Ectocarpin A
		LMFA05000761		Panaxacol
		LMFA05000762		17-Hydroxypanaxacol
		LMFA09000025		Albanitrile F
		LMFA09000026		Albanitrile B
		LMFA08020398		N-(20-hydroxyarachidoyl)-5-hydroxytryptamine
		LMFA09000027		Albanitrile G
		LMFA08020399		N-(20-hydroxybehenoyl)-5-hydroxytryptamine
		LMFA09000028		Albanitrile D
		LMFA08020400		Heneicosanylserotonin
		LMFA05000465		 3-Methylhexan-2-ol
		LMFA12000079		4S-Methylhexan-3-one
		LMFA05000768		
		LMFA07010343		11E-Hexadecenyl acetate
		LMFA04000104		Ectocarpin B
		LMFA01050595		Lycocasuarinen acid B
		LMFA07011187		
		LMFA06000104		15-tetracosenal
		LMFA12000093		5R-Hydroxy-4S-methylheptan-3-one
		LMFA12000100		2-Methylheptan-4-one
		LMFA07050487		2M2PE-CoA
		LMFA07010266		6E-Tridecenyl acetate
		LMFA01030344		Pinolenic acid
		LMFA02010021		Dinor-iso-12-oxo-phytodienoic acid
