compoundName_HMDB	HMDB	KEGG	compoundName_LipidMaps	LipidMaps
			CL(1'-[18:0/20:4(5Z,8Z,11Z,14Z)],3'-[20:0/18:1(9Z)])	LMGP12010429
			CL(1'-[18:1(9Z)/18:2(9Z,12Z)],3'-[16:0/18:0])	LMGP12010548
			CL(1'-[18:1(9Z)/18:2(9Z,12Z)],3'-[18:2(9Z,12Z)/20:0])	LMGP12010569
			CL(1'-[20:0/20:0],3'-[20:0/20:0])	LMGP12011043
			CL(1'-[20:0/18:0],3'-[18:1(9Z)/20:0])	LMGP12010923
			CL(1'-[20:0/18:1(9Z)],3'-[16:0/20:0])	LMGP12010947
			CL(1'-[20:0/18:1(9Z)],3'-[20:4(5Z,8Z,11Z,14Z)/18:0])	LMGP12010974
			CL(1'-[20:0/18:2(9Z,12Z)],3'-[18:0/18:1(9Z)])	LMGP12010987
			CL(1'-[20:4(5Z,8Z,11Z,14Z)/16:0],3'-[16:0/20:0])	LMGP12011091
			CL(1'-[20:4(5Z,8Z,11Z,14Z)/18:1(9Z)],3'-[20:0/18:0])	LMGP12011184
			CL(1'-[20:4(5Z,8Z,11Z,14Z)/20:0],3'-[18:0/18:1(9Z)])	LMGP12011239
			CL(1'-[20:4(5Z,8Z,11Z,14Z)/20:0],3'-[18:0/18:2(9Z,12Z)])	LMGP12011240
			PIM3(19:2(9Z,12Z)/14:0)	LMGP15010140
			PIM5(19:1(9Z)/14:0)	LMGP15010230
			PIM5(19:2(9Z,12Z)/16:0)	LMGP15010237
			PIM5(19:2(9Z,12Z)/18:1(9Z))	LMGP15010241
			1-O-(2-methoxyhexadecyl)-sn-glycerol-3-phosphocholine	LMGP01060042
			1-(2-methoxy-nonadecanyl)-sn-glycero-3-phosphoethanolamine	LMGP02060022
			PKOOA-PA	LMGP20070006
			PHODA-PI	LMGP20050001
			PHODA-PE	LMGP20020027
			1-(2-methoxy-6Z-pentadecenyl)-sn-glycero-3-phosphoserine	LMGP03060011
				LMGP18000001
			PC(O-16:0/20:4(5E,8E,11E,14E))	LMGP01020054
			PE-NMe2(12:0/12:0)	LMGP02010313
			PG(16:0/0:0)	LMGP04050008
			PC(22:1(11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	LMGP01012034
			PC(22:2(13Z,16Z)/17:0)	LMGP01012043
			PC(22:0/19:1(9Z))	LMGP01011993
			PC(22:1(11Z)/20:2(11Z,14Z))	LMGP01012025
			PC(20:4(5Z,8Z,11Z,14Z)/21:0)	LMGP01011920
			PC(P-20:0/18:3(6Z,9Z,12Z))	LMGP01030088
			PC(O-20:0/0:0)	LMGP01060041
			PE(12:0/19:0)	LMGP02010370
			PE(12:0/20:1(11Z))	LMGP02010372
			PE(14:1(9Z)/19:0)	LMGP02010438
			PE(16:0/22:1(11Z))	LMGP02010512
			PE(17:0/20:5(5Z,8Z,11Z,14Z,17Z))	LMGP02010555
			PE(15:1(9Z)/0:0)	LMGP02050015
			PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/17:2(9Z,12Z))	LMGP02011141
			PE(O-16:0/17:1(9Z))	LMGP02020028
			PE(O-18:0/15:0)	LMGP02020042
			PE(O-20:0/18:2(9Z,12Z))	LMGP02020073
			PA(12:0/15:1(9Z))	LMGP10010046
			PA(19:1(9Z)/18:0)	LMGP10010489
			PE(20:0/15:1(9Z))	LMGP02010826
			PE(O-20:0/18:3(9Z,12Z,15Z))	LMGP02020075
			PE(P-20:0/18:3(6Z,9Z,12Z))	LMGP02030076
			PA(12:0/17:2(9Z,12Z))	LMGP10010050
			PE(19:0/13:0)	LMGP02011187
			PA(20:3(8Z,11Z,14Z)/15:1(9Z))	LMGP10010592
			PA(22:1(11Z)/17:0)	LMGP10010732
			PA(22:1(11Z)/22:4(7Z,10Z,13Z,16Z))	LMGP10010753
			PA(O-18:0/17:0)	LMGP10020025
			PA(P-18:0/17:1(9Z))	LMGP10030037
			PA(P-18:0/22:4(7Z,10Z,13Z,16Z))	LMGP10030055
			PA(17:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	LMGP10010893
			PA(O-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	LMGP10020085
			PI(14:0/20:3(8Z,11Z,14Z))	LMGP06010072
			PI(16:1(9Z)/20:1(11Z))	LMGP06010185
			PG(14:0/13:0)	LMGP04010093
			PG(15:0/20:5(5Z,8Z,11Z,14Z,17Z))	LMGP04010155
			PG(15:1(9Z)/20:4(5Z,8Z,11Z,14Z))	LMGP04010184
			PG(15:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))	LMGP04010185
			PG(16:1(9Z)/19:0)	LMGP04010214
			PG(17:0/16:1(9Z))	LMGP04010230
			PI(14:0/22:0)	LMGP06010893
			PG(13:0/18:0)	LMGP04010076
			PG(17:2(9Z,12Z)/18:3(9Z,12Z,15Z))	LMGP04010292
			PG(17:2(9Z,12Z)/18:4(6Z,9Z,12Z,15Z))	LMGP04010293
			PG(18:0/15:1(9Z))	LMGP04010311
			PG(18:3(9Z,12Z,15Z)/14:1(9Z))	LMGP04010400
			PG(20:1(11Z)/21:0)	LMGP04010552
			PG(20:2(11Z,14Z)/22:2(13Z,16Z))	LMGP04010586
			PS(17:1(9Z)/19:0)	LMGP03010264
			PG(22:4(7Z,10Z,13Z,16Z)/18:3(9Z,12Z,15Z))	LMGP04010802
			PS(17:0/19:0)	LMGP03010237
			PS(19:1(9Z)/15:1(9Z))	LMGP03010485
			PS(21:0/20:1(11Z))	LMGP03010693
			PS(22:2(13Z,16Z)/17:1(9Z))	LMGP03010765
			PS(20:3(8Z,11Z,14Z)/0:0)	LMGP03050022
			PS(18:4(6Z,9Z,12Z,15Z)/19:1(9Z))	LMGP03010443
			PS(17:0/13:0)	LMGP03010897
			PS(O-18:0/19:0)	LMGP03020032
			PS(O-20:0/17:1(9Z))	LMGP03020049
			PS(O-16:0/20:3(8Z,11Z,14Z))	LMGP03020075
			PS(P-16:0/16:0)	LMGP03030007
			PS(P-16:0/20:0)	LMGP03030018
			PS(P-20:0/18:2(9Z,12Z))	LMGP03030069
			PS(P-20:0/22:0)	LMGP03030082
			CL(1'-[16:0/18:2(9Z,12Z)],3'-[18:1(9Z)/20:0])	LMGP12010131
			CL(1'-[16:0/20:4(5Z,8Z,11Z,14Z)],3'-[20:0/20:0])	LMGP12010215
			CL(1'-[18:0/20:0],3'-[18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)])	LMGP12010390
			CL(1'-[18:1(9Z)/18:0],3'-[20:4(5Z,8Z,11Z,14Z)/16:0])	LMGP12010505
			CL(1'-[18:1(9Z)/20:0],3'-[20:4(5Z,8Z,11Z,14Z)/20:0])	LMGP12010617
			CL(1'-[18:2(9Z,12Z)/18:2(9Z,12Z)],3'-[20:0/20:0])	LMGP12010791
			CL(1'-[18:2(9Z,12Z)/20:0],3'-[20:0/18:2(9Z,12Z)])	LMGP12010826
			CL(1'-[18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)],3'-[20:0/18:1(9Z)])	LMGP12010861
			CL(1'-[20:0/16:0],3'-[18:0/16:0])	LMGP12010877
			CL(1'-[20:0/16:0],3'-[20:0/18:1(9Z)])	LMGP12010897
			CL(1'-[20:0/18:0],3'-[20:4(5Z,8Z,11Z,14Z)/20:0])	LMGP12010941
			CL(1'-[20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z)],3'-[20:0/18:0])	LMGP12011220
			CL(1'-[20:4(5Z,8Z,11Z,14Z)/20:0],3'-[16:0/16:0])	LMGP12011231
			LPIM4(17:0/0:0)	LMGP15040026
			LPIM4(18:1(9Z)/0:0)	LMGP15040028
			PIM2(18:2(9Z,12Z)/14:0)	LMGP15010074
			PIM2(19:0/14:0)	LMGP15010080
			PIM5(19:2(9Z,12Z)/18:0)	LMGP15010240
			PHHdiA-PS	LMGP20040011
			PC(13:0/0:0)	LMGP01050001
			PC(10:0/19:0)	LMGP01010394
			PC(O-14:0/20:4(5Z,8Z,11Z,14Z))	LMGP01020021
			PC(0:0/7:0)	LMGP01050095
			PC(0:0/3:1(2E))	LMGP01050088
			PC(0:0/4:0)	LMGP01050089
			PC(18:1(9Z)/0:0)[rac]	LMGP01050114
			PG(14:0/16:0)	LMGP04010022
			PE(O-18:0/18:0)	LMGP02020011
			Glc-GP(18:0/20:4(5Z,8Z,11Z,14Z))	LMGP14010001
				LMGP00000054
			PC(17:2(9Z,12Z)/20:2(11Z,14Z))	LMGP01011571
			PC(18:1(9Z)/19:1(9Z))	LMGP01011606
			PC(19:1(9Z)/18:3(6Z,9Z,12Z))	LMGP01011770
			PC(20:5(5Z,8Z,11Z,14Z,17Z)/15:1(9Z))	LMGP01011931
			PC(17:2(9Z,12Z)/18:4(6Z,9Z,12Z,15Z))	LMGP01011566
			PC(22:4(7Z,10Z,13Z,16Z)/13:0)	LMGP01012067
			PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/17:0)	LMGP01012104
			PC(O-16:0/17:2(9Z,12Z))	LMGP01020184
			PC(O-20:0/18:4(6Z,9Z,12Z,15Z))	LMGP01020231
			PC(O-20:0/20:2(11Z,14Z))	LMGP01020236
			PC(P-16:0/22:1(11Z))	LMGP01030043
			PC(P-18:0/17:2(9Z,12Z))	LMGP01030056
			PC(P-20:0/0:0)	LMGP01070013
			PE(12:0/14:1(9Z))	LMGP02010359
			PE(16:0/15:1(9Z))	LMGP02010507
			PE(18:1(9Z)/22:1(11Z))	LMGP02010650
			PE(19:0/20:4(5Z,8Z,11Z,14Z))	LMGP02010785
			PE(20:1(11Z)/19:0)	LMGP02010858
			PE(14:1(9Z)/17:0)	LMGP02010429
			PE(21:0/18:1(9Z))	LMGP02010999
			PE(21:0/19:1(9Z))	LMGP02011005
			PE(21:0/20:4(5Z,8Z,11Z,14Z))	LMGP02011010
			PE(21:0/22:4(7Z,10Z,13Z,16Z))	LMGP02011015
			PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/15:1(9Z))	LMGP02011137
			PE(O-16:0/20:2(11Z,14Z))	LMGP02020033
			PE(O-18:0/18:2(9Z,12Z))	LMGP02020048
			PE(P-16:0/13:0)	LMGP02030008
			PE(P-16:0/17:0)	LMGP02030015
			PE(P-20:0/12:0)	LMGP02030062
			PE(P-20:0/22:4(7Z,10Z,13Z,16Z))	LMGP02030091
			PA(12:0/17:1(9Z))	LMGP10010049
			PA(14:1(9Z)/15:1(9Z))	LMGP10010111
			PE(O-20:0/13:0)	LMGP02020062
			PA(18:1(9Z)/21:0)	LMGP10010334
			PA(18:3(9Z,12Z,15Z)/22:1(11Z))	LMGP10010419
			PA(20:0/19:1(9Z))	LMGP10010519
			PA(22:1(11Z)/18:3(9Z,12Z,15Z))	LMGP10010739
			PA(17:2(9Z,12Z)/18:0)	LMGP10010286
			PA(22:2(13Z,16Z)/17:1(9Z))	LMGP10010764
			PA(14:0/15:0)	LMGP10010932
			PA(13:0/13:0)	LMGP10010980
			PA(O-18:0/18:4(6Z,9Z,12Z,15Z))	LMGP10020032
			PA(P-20:0/18:0)	LMGP10030067
			PI(14:1(9Z)/15:0)	LMGP06010080
			PI(18:4(6Z,9Z,12Z,15Z)/19:1(9Z))	LMGP06010411
			PG(15:1(9Z)/21:0)	LMGP04010186
			PG(16:0/19:1(9Z))	LMGP04010196
			PI(22:1(11Z)/17:0)	LMGP06010702
			PG(14:1(9Z)/20:2(11Z,14Z))	LMGP04010129
			PG(18:3(6Z,9Z,12Z)/17:0)	LMGP04010374
			PG(18:3(6Z,9Z,12Z)/20:0)	LMGP04010385
			PG(18:3(6Z,9Z,12Z)/21:0)	LMGP04010391
			PG(18:2(9Z,12Z)/14:1(9Z))	LMGP04010343
			PG(19:0/18:3(9Z,12Z,15Z))	LMGP04010465
			PG(20:1(11Z)/17:0)	LMGP04010536
			PG(18:0/18:4(6Z,9Z,12Z,15Z))	LMGP04010886
			PS(16:1(9Z)/17:0)	LMGP03010208
			PS(18:0/15:1(9Z))	LMGP03010311
			PS(18:3(6Z,9Z,12Z)/22:1(11Z))	LMGP03010393
			PS(18:3(9Z,12Z,15Z)/12:0)	LMGP03010397
			PS(22:1(11Z)/18:0)	LMGP03010736
			PS(22:2(13Z,16Z)/19:0)	LMGP03010773
			PS(13:0/19:0)	LMGP03010934
			PS(O-16:0/22:0)	LMGP03020089
			CL(1'-[16:0/18:0],3'-[16:0/20:0])	LMGP12010047
			CL(1'-[16:0/20:4(5Z,8Z,11Z,14Z)],3'-[18:0/20:4(5Z,8Z,11Z,14Z)])	LMGP12010198
			CL(1'-[18:0/18:0],3'-[20:0/20:0])	LMGP12010287
			CL(1'-[18:0/18:2(9Z,12Z)],3'-[18:2(9Z,12Z)/18:0])	LMGP12010350
			PIM1(19:0/16:0)	LMGP15010033
			CL(1'-[18:0/20:0],3'-[16:0/18:0])	LMGP12010368
			CL(1'-[18:1(9Z)/16:0],3'-[20:0/18:0])	LMGP12010464
			CL(1'-[18:1(9Z)/18:1(9Z)],3'-[18:1(9Z)/20:0])	LMGP12010527
			CL(1'-[18:1(9Z)/18:2(9Z,12Z)],3'-[18:0/20:4(5Z,8Z,11Z,14Z)])	LMGP12010558
			CL(1'-[18:1(9Z)/20:0],3'-[16:0/18:1(9Z)])	LMGP12010585
			CL(1'-[18:2(9Z,12Z)/20:0],3'-[18:2(9Z,12Z)/18:1(9Z)])	LMGP12010819
			CL(1'-[20:0/16:0],3'-[18:2(9Z,12Z)/20:0])	LMGP12010893
			CL(1'-[20:0/18:0],3'-[18:2(9Z,12Z)/16:0])	LMGP12010925
			CL(1'-[20:0/18:0],3'-[20:0/18:1(9Z)])	LMGP12010933
			CL(1'-[20:0/18:2(9Z,12Z)],3'-[18:1(9Z)/16:0])	LMGP12010991
			CL(1'-[20:0/20:4(5Z,8Z,11Z,14Z)],3'-[20:0/18:0])	LMGP12011076
			CL(1'-[20:0/20:4(5Z,8Z,11Z,14Z)],3'-[20:0/18:2(9Z,12Z)])	LMGP12011078
			CL(1'-[20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z)],3'-[16:0/18:0])	LMGP12011196
			PIM1(16:0/18:0)	LMGP15010006
			PIM2(18:2(9Z,12Z)/16:2(9Z,12Z))	LMGP15010077
			PIM4(17:0/14:0)	LMGP15010152
			PHHdiA-PC	LMGP20010010
			1-(2-methoxy-13-methyl-tetradecanyl)-sn-glycero-3-phosphoethanolamine	LMGP02060011
			1-(2-methoxy-tetradecanyl)-sn-glycero-3-phosphoserine	LMGP03060004
			OON-PS	LMGP20040023
			OA-PC	LMGP20010030
			PC(18:1(9E)/0:0)	LMGP01050030
			PC(O-17:0/17:0)	LMGP01020076
			PC(O-17:0/20:4(5Z,8Z,11Z,14Z))	LMGP01020081
			PE(12:0/0:0)	LMGP02050005
			PE(12:0/12:0)	LMGP02010098
			PG(16:0/12:0)	LMGP04010025
			PI(17:0/14:1(9Z))	LMGP06010006
				LMGP01080003
				LMGP01040097
			PS(18:0/0:0)	LMGP03050006
			PC(20:3(8Z,11Z,14Z)/13:0)	LMGP01011867
			PC(20:4(5Z,8Z,11Z,14Z)/13:0)	LMGP01011898
			PC(20:4(5Z,8Z,11Z,14Z)/15:1(9Z))	LMGP01011902
			PC(20:4(5Z,8Z,11Z,14Z)/22:1(11Z))	LMGP01011922
			PC(20:5(5Z,8Z,11Z,14Z,17Z)/13:0)	LMGP01011927
			PC(21:0/18:3(6Z,9Z,12Z))	LMGP01011965
			PC(O-18:0/20:1(11Z))	LMGP01020209
			PC(O-20:0/13:0)	LMGP01020217
			PC(O-20:0/22:1(11Z))	LMGP01020241
			PC(P-20:0/15:0)	LMGP01030078
			PC(P-20:0/16:1(9Z))	LMGP01030081
			PC(20:4(5Z,8Z,11Z,14Z)/19:0)	LMGP01011913
			PE(15:1(9Z)/22:2(13Z,16Z))	LMGP02010502
			PE(16:1(9Z)/22:1(11Z))	LMGP02010536
			PE(17:1(9Z)/19:0)	LMGP02010577
			PE(18:0/17:0)	LMGP02010625
			PE(18:0/17:2(9Z,12Z))	LMGP02010627
			PE(14:0/22:1(11Z))	LMGP02010419
			PE(20:5(5Z,8Z,11Z,14Z,17Z)/17:1(9Z))	LMGP02010971
			PE(21:0/19:0)	LMGP02011004
			PE(22:1(11Z)/12:0)	LMGP02011040
			PE(O-18:0/18:4(6Z,9Z,12Z,15Z))	LMGP02020051
			PE(O-18:0/22:2(13Z,16Z))	LMGP02020059
			PE(O-20:0/17:1(9Z))	LMGP02020069
			PE(O-20:0/22:4(7Z,10Z,13Z,16Z))	LMGP02020088
			PE(P-16:0/22:1(11Z))	LMGP02030031
			PE(P-18:0/19:1(9Z))	LMGP02030051
			PA(13:0/20:4(5Z,8Z,11Z,14Z))	LMGP10010084
			PA(18:2(9Z,12Z)/21:0)	LMGP10010359
			PA(18:4(6Z,9Z,12Z,15Z)/19:0)	LMGP10010440
			PA(19:0/17:2(9Z,12Z))	LMGP10010459
			PA(19:0/22:1(11Z))	LMGP10010474
			PA(19:1(9Z)/18:2(9Z,12Z))	LMGP10010491
			PA(O-18:0/20:2(11Z,14Z))	LMGP10020036
			PA(14:1(9Z)/13:0)	LMGP10010108
			PA(20:2(11Z,14Z)/17:0)	LMGP10010564
			PA(20:4(5Z,8Z,11Z,14Z)/17:0)	LMGP10010625
			PA(21:0/18:3(9Z,12Z,15Z))	LMGP10010687
			PA(22:0/17:2(9Z,12Z))	LMGP10010708
			PA(22:4(7Z,10Z,13Z,16Z)/17:0)	LMGP10010794
			PA(17:0/18:0)	LMGP10010895
			PA(13:0/19:0)	LMGP10010936
			PA(O-20:0/19:0)	LMGP10020058
			PA(O-20:0/20:0)	LMGP10020060
			PA(P-16:0/19:0)	LMGP10030016
			PA(P-20:0/15:0)	LMGP10030060
			PA(P-20:0/18:2(9Z,12Z))	LMGP10030069
			PA(P-20:0/20:2(11Z,14Z))	LMGP10030077
			PI(15:0/20:2(11Z,14Z))	LMGP06010120
			PI(17:1(9Z)/16:1(9Z))	LMGP06010223
			PG(15:0/17:1(9Z))	LMGP04010143
			PG(15:1(9Z)/20:1(11Z))	LMGP04010181
			PG(15:1(9Z)/22:2(13Z,16Z))	LMGP04010189
			PG(16:1(9Z)/14:1(9Z))	LMGP04010204
			PG(16:1(9Z)/22:1(11Z))	LMGP04010223
			PG(14:1(9Z)/19:0)	LMGP04010125
			PG(18:3(9Z,12Z,15Z)/17:1(9Z))	LMGP04010405
			PG(18:3(6Z,9Z,12Z)/13:0)	LMGP04010367
			PG(18:3(9Z,12Z,15Z)/20:0)	LMGP04010413
			PG(20:5(5Z,8Z,11Z,14Z,17Z)/16:1(9Z))	LMGP04010655
			PG(20:5(5Z,8Z,11Z,14Z,17Z)/17:1(9Z))	LMGP04010657
			PS(21:0/20:5(5Z,8Z,11Z,14Z,17Z))	LMGP03010697
			PS(15:1(9Z)/19:1(9Z))	LMGP03010179
			PS(17:0/20:3(8Z,11Z,14Z))	LMGP03010241
			PG(19:0/18:0)	LMGP04010869
			PG(18:1(9Z)/14:0)	LMGP04010882
			PS(14:1(9Z)/17:0)	LMGP03010116
			PS(15:1(9Z)/13:0)	LMGP03010162
			PS(21:0/22:2(13Z,16Z))	LMGP03010700
			PS(18:3(6Z,9Z,12Z)/17:1(9Z))	LMGP03010375
			PS(18:3(9Z,12Z,15Z)/13:0)	LMGP03010398
			PS(18:4(6Z,9Z,12Z,15Z)/19:0)	LMGP03010442
			PS(19:0/15:1(9Z))	LMGP03010457
			PS(19:1(9Z)/22:2(13Z,16Z))	LMGP03010508
			PS(20:0/21:0)	LMGP03010524
			PS(22:1(11Z)/17:2(9Z,12Z))	LMGP03010735
			PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/17:2(9Z,12Z))	LMGP03010826
			PS(O-18:0/20:1(11Z))	LMGP03020034
			PS(O-18:0/21:0)	LMGP03020037
			PS(21:0/14:1(9Z))	LMGP03010677
			PS(13:0/15:0)	LMGP03010936
			PS(12:0/20:0)	LMGP03010939
			PS(16:0/12:0)	LMGP03010981
			PS(O-20:0/14:1(9Z))	LMGP03020044
			PS(O-18:0/20:5(5Z,8Z,11Z,14Z,17Z))	LMGP03020085
			PS(P-18:0/20:2(11Z,14Z))	LMGP03030048
			CL(1'-[16:0/18:0],3'-[18:1(9Z)/18:1(9Z)])	LMGP12010057
			PIM1(19:1(9Z)/16:1(9Z))	LMGP15010040
			CL(1'-[18:0/18:2(9Z,12Z)],3'-[16:0/20:0])	LMGP12010335
			CL(1'-[18:0/18:2(9Z,12Z)],3'-[16:0/20:4(5Z,8Z,11Z,14Z)])	LMGP12010336
			CL(1'-[18:0/20:4(5Z,8Z,11Z,14Z)],3'-[18:2(9Z,12Z)/18:1(9Z)])	LMGP12010423
			CL(1'-[18:1(9Z)/18:1(9Z)],3'-[20:0/20:0])	LMGP12010539
			CL(1'-[18:1(9Z)/18:2(9Z,12Z)],3'-[20:0/16:0])	LMGP12010571
			CL(1'-[20:0/18:0],3'-[20:0/18:0])	LMGP12010932
			CL(1'-[20:0/18:1(9Z)],3'-[18:0/20:4(5Z,8Z,11Z,14Z)])	LMGP12010954
			CL(1'-[20:0/18:2(9Z,12Z)],3'-[18:1(9Z)/18:2(9Z,12Z)])	LMGP12010994
			CL(1'-[20:0/20:0],3'-[18:2(9Z,12Z)/18:1(9Z)])	LMGP12011035
			CL(1'-[20:4(5Z,8Z,11Z,14Z)/16:0],3'-[18:1(9Z)/20:4(5Z,8Z,11Z,14Z)])	LMGP12011104
			CL(1'-[20:4(5Z,8Z,11Z,14Z)/18:1(9Z)],3'-[20:0/16:0])	LMGP12011183
			CL(1'-[20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z)],3'-[20:0/20:4(5Z,8Z,11Z,14Z)])	LMGP12011224
			CL(1'-[20:4(5Z,8Z,11Z,14Z)/20:0],3'-[18:1(9Z)/20:0])	LMGP12011247
			PIM3(17:0/16:2(9Z,12Z))	LMGP15010107
			PIM5(17:0/16:1(9Z))	LMGP15010202
			PIM3(19:0/16:2(9Z,12Z))	LMGP15010131
			PIM5(18:2(9Z,12Z)/16:2(9Z,12Z))	LMGP15010221
			PIM5(19:0/18:0)	LMGP15010228
			LPIM2(18:1(9Z)/0:0)	LMGP15040012
			1-(2-methoxy-octadecanyl)-sn-glycero-3-phosphoethanolamine	LMGP02060021
			1-(2-methoxy-6Z-tetradecenyl)-sn-glycero-3-phosphoethanolamine	LMGP02060008
			1-(2-methoxy-5Z-hexadecenyl)-sn-glycero-3-phosphoserine	LMGP03060013
			1-(2-methoxy-heneicosanyl)-sn-glycero-3-phosphoserine	LMGP03060020
			OHHdiA-PC	LMGP20010034
			PS(17:0/20:4(5Z,8Z,11Z,14Z))	LMGP03010003
			PC(O-15:0/20:4(5Z,8Z,11Z,14Z))	LMGP01020026
			PC(O-17:0/2:0)	LMGP01020078
			PC(O-17:0/22:0)	LMGP01020083
			PC(P-18:0/2:0)	LMGP01030011
			PC(O-19:0/0:0)	LMGP01060017
			PC(O-18:1(11Z)/0:0)	LMGP01060034
			PE-NMe2(20:0/20:0)	LMGP02010319
			PC(16:1(7Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	LMGP01011306
			PE(20:1(13Z)/20:0)	LMGP02010159
			PA(16:0/16:0)[rac]	LMGP10010012
				LMGP02060001
			PE(17:1(9Z)/0:0)	LMGP02050008
			PG(14:0/0:0)	LMGP04050012
			PC(17:2(9Z,12Z)/20:1(11Z))	LMGP01011570
			PC(18:3(9Z,12Z,15Z)/21:0)	LMGP01011694
			PC(20:5(5Z,8Z,11Z,14Z,17Z)/22:1(11Z))	LMGP01011952
			PC(22:0/19:0)	LMGP01011992
			PC(22:1(11Z)/17:1(9Z))	LMGP01012013
			PC(O-18:0/14:1(9Z))	LMGP01020196
			PC(O-20:0/17:0)	LMGP01020223
			PC(O-20:0/17:1(9Z))	LMGP01020224
			PC(20:5(5Z,8Z,11Z,14Z,17Z)/15:0)	LMGP01011930
			PE(15:1(9Z)/14:1(9Z))	LMGP02010477
			PE(17:0/16:1(9Z))	LMGP02010543
			PE(17:1(9Z)/15:1(9Z))	LMGP02010566
			PE(17:1(9Z)/20:1(11Z))	LMGP02010580
			PE(17:1(9Z)/22:2(13Z,16Z))	LMGP02010588
			PE(17:2(9Z,12Z)/13:0)	LMGP02010592
			PE(17:2(9Z,12Z)/14:1(9Z))	LMGP02010594
			PE(12:0/20:5(5Z,8Z,11Z,14Z,17Z))	LMGP02010376
			PE(20:0/17:1(9Z))	LMGP02010829
			PE(20:3(8Z,11Z,14Z)/19:0)	LMGP02010919
			PE(20:4(5Z,8Z,11Z,14Z)/17:2(9Z,12Z))	LMGP02010942
			PE(20:5(5Z,8Z,11Z,14Z,17Z)/13:0)	LMGP02010963
			PE(21:0/18:3(9Z,12Z,15Z))	LMGP02011002
			PE(22:1(11Z)/18:3(6Z,9Z,12Z))	LMGP02011054
			PE(22:1(11Z)/21:0)	LMGP02011065
			PE(O-16:0/14:0)	LMGP02020023
			PE(12:0/22:0)	LMGP02011258
			PE(O-18:0/19:1(9Z))	LMGP02020053
			PE(O-20:0/15:0)	LMGP02020065
			PE(P-20:0/20:0)	LMGP02030081
			PA(12:0/15:0)	LMGP10010045
			PA(15:1(9Z)/0:0)	LMGP10050021
			PE(15:0/19:0)	LMGP02011231
			PA(19:0/18:2(9Z,12Z))	LMGP10010461
			PA(20:1(11Z)/19:0)	LMGP10010543
			PA(20:3(8Z,11Z,14Z)/19:0)	LMGP10010604
			PA(22:1(11Z)/16:1(9Z))	LMGP10010731
			PA(20:2(11Z,14Z)/0:0)	LMGP10050027
			PA(18:3(9Z,12Z,15Z)/13:0)	LMGP10010396
			PA(O-18:0/14:1(9Z))	LMGP10020022
			PA(O-16:0/20:4(5Z,8Z,11Z,14Z))	LMGP10020092
			PA(P-16:0/16:0)	LMGP10030007
			PA(P-16:0/17:1(9Z))	LMGP10030010
			PA(P-18:0/19:1(9Z))	LMGP10030045
			PA(P-20:0/17:1(9Z))	LMGP10030065
			PA(P-20:0/20:0)	LMGP10030075
			PI(20:1(11Z)/0:0)	LMGP06050019
			PI(15:0/22:1(11Z))	LMGP06010125
			PI(O-20:0/0:0)	LMGP06060001
			PG(15:0/14:1(9Z))	LMGP04010141
			PG(15:1(9Z)/16:1(9Z))	LMGP04010168
			PG(14:1(9Z)/18:0)	LMGP04010119
			PG(17:1(9Z)/22:0)	LMGP04010273
			PG(17:2(9Z,12Z)/22:0)	LMGP04010303
			PG(18:1(9Z)/21:0)	LMGP04010336
			PG(18:2(9Z,12Z)/17:2(9Z,12Z))	LMGP04010349
			PG(18:3(9Z,12Z,15Z)/12:0)	LMGP04010397
			PG(18:3(9Z,12Z,15Z)/19:1(9Z))	LMGP04010412
			PG(16:1(9Z)/20:2(11Z,14Z))	LMGP04010218
			PG(20:3(8Z,11Z,14Z)/19:1(9Z))	LMGP04010607
			PS(20:1(11Z)/15:1(9Z))	LMGP03010533
			PS(20:2(11Z,14Z)/19:0)	LMGP03010575
			PS(18:4(6Z,9Z,12Z,15Z)/17:1(9Z))	LMGP03010434
			PS(19:0/18:4(6Z,9Z,12Z,15Z))	LMGP03010466
			PS(13:0/17:0)	LMGP03010935
			PS(12:0/18:0)	LMGP03010941
			PS(O-16:0/17:2(9Z,12Z))	LMGP03020009
			PS(P-16:0/17:0)	LMGP03030009
			PS(P-18:0/22:1(11Z))	LMGP03030053
			PS(P-20:0/15:0)	LMGP03030060
			PS(P-20:0/20:1(11Z))	LMGP03030076
			CL(1'-[16:0/18:1(9Z)],3'-[20:0/20:0])	LMGP12010107
			CL(1'-[18:0/18:0],3'-[16:0/20:0])	LMGP12010263
